"key","name","level","hasData","fields"
"1004180","Ermila","0","TRUE","03.131.07.03."
"1004190","Fritissa","0","TRUE","03.131.07.05."
"1004200","Oulad Ali Youssef","0","TRUE","03.131.07.07."
"1004210","Tissaf","0","TRUE","03.131.07.09."
"1004220","Province: El  Hajeb","0","TRUE","03.171."
"1004230","Agourai (Mun.)","0","TRUE","03.171.01.01."
"1004240","Ain Taoujdate (Mun.)","0","TRUE","03.171.01.03."
"1004250","El Hajeb (Mun.)","0","TRUE","03.171.01.05."
"1004260","Sabaa Aiyoun (Mun.)","0","TRUE","03.171.01.07."
"1004270","Cercle : Agourai","0","TRUE","03.171.03."
"1004280","Ait Ouikhalfen","0","TRUE","03.171.03.01."
"1004290","Ait Yaazem","0","TRUE","03.171.03.03."
"1004300","Dont Centre: Kantina","0","TRUE","03.171.03.03.3."
"1004310","Jahjouh","0","TRUE","03.171.03.05."
"1004320","Dont Centre: Sebt Jahjouh","0","TRUE","03.171.03.05.3."
"1004330","Ras Ijerri","0","TRUE","03.171.03.07."
"1004340","Tamchachate","0","TRUE","03.171.03.09."
"1004350","Cercle : Ain Taoujdate","0","TRUE","03.171.05."
"1004360","Ait Boubidmane","0","TRUE","03.171.05.01."
"1004370","Dont Centre: Bouderbala","0","TRUE","03.171.05.01.3."
"1004380","Ait Harz Allah","0","TRUE","03.171.05.03."
"1004390","Bitit","0","TRUE","03.171.05.05."
"1004400","Laqsir","0","TRUE","03.171.05.07."
"1004410","Cercle : El Hajeb","0","TRUE","03.171.07."
"1004420","Ait Bourzouine","0","TRUE","03.171.07.01."
"1004430","Ait Naamane","0","TRUE","03.171.07.03."
"1004440","Iqaddar","0","TRUE","03.171.07.05."
"1004450","Préfecture: Fès","0","TRUE","03.231."
"1004460","Agdal (Arrond.)","0","TRUE","03.231.01.01."
"1004470","Méchouar Fès Jdid (Mun.)","0","TRUE","03.231.01.03."
"1004480","Saiss (Arrond.)","0","TRUE","03.231.01.05."
"1004490","Fès-Médina (Arrond.)","0","TRUE","03.231.01.07."
"1004500","Jnan El Ouard (Arrond.)","0","TRUE","03.231.01.09."
"1004510","El Mariniyine (Arrond.)","0","TRUE","03.231.01.11."
"1004520","Zouagha (Arrond.)","0","TRUE","03.231.01.13."
"1004530","Cercle : Fès Banlieue","0","TRUE","03.231.81."
